replicate,trial_type,grazer,epiphyte,dmass,time_hrs,dmass_per24,dmass_minctrl,grazer_mass,dmass_stnd
CTRL-SH-BL-5,CTRL,ctrl_seahare,blades,-0.001,36,-0.000666667,-0.000666667,na,na
CTRL-SH-BL-6,CTRL,ctrl_seahare,blades,-0.003,36,-0.002,-0.002,na,na
CTRL-SH-BL-7,CTRL,ctrl_seahare,blades,0.002,36,0.001333333,0.001333333,na,na
CTRL-SH-BL-8,CTRL,ctrl_seahare,blades,0.004,36,0.002666667,0.002666667,na,na
CTRL-SH-BL-9,CTRL,ctrl_seahare,blades,-0.001,36,-0.000666667,-0.000666667,na,na
CTRL-SH-BL-10,CTRL,ctrl_seahare,blades,0,36,0,0,na,na
CTRL-SH-BL-11,CTRL,ctrl_seahare,blades,0.001,36,0.000666667,0.000666667,na,na
IS-DI-3,EXPT,isopod,diatoms,-0.001,24,-0.001,0.00667,0.051,0.130784314
IS-DI-4,EXPT,isopod,diatoms,0.025,24,0.025,0.03267,0.025,1.3068
IS-DI-5,EXPT,isopod,diatoms,0.014,24,0.014,0.02167,0.023,0.942173913
IS-DI-6,EXPT,isopod,diatoms,-0.018,24,-0.018,-0.01033,0.026,-0.397307692
IS-DI-7,EXPT,isopod,diatoms,0.025,24,0.025,0.03267,0.063,0.518571429
IS-DI-8,EXPT,isopod,diatoms,0.008,24,0.008,0.01567,0.111,0.141171171
IS-DI-9,EXPT,isopod,diatoms,0.033,24,0.033,0.04067,0.05,0.8134
IS-DI-10,EXPT,isopod,diatoms,-0.006,24,-0.006,0.00167,0.025,0.0668
IS-DI-11,EXPT,isopod,diatoms,0.001,24,0.001,0.00867,0.021,0.412857143
IS-DI-12,EXPT,isopod,diatoms,0.038,24,0.038,0.04567,0.136,0.335808824
IS-DI-13,EXPT,isopod,diatoms,0.03,24,0.03,0.03767,0.08,0.470875
IS-DI-14,EXPT,isopod,diatoms,0.027,24,0.027,0.03467,0.034,1.019705882
IS-DI-15,EXPT,isopod,diatoms,-0.008,24,-0.008,-0.00033,0.064,-0.00515625
IS-DI-16,EXPT,isopod,diatoms,0.028,24,0.028,0.03567,0.034,1.049117647
IS-DI-17,EXPT,isopod,diatoms,0.044,24,0.044,0.05167,0.094,0.549680851
IS-DI-18,EXPT,isopod,diatoms,0.025,24,0.025,0.03267,0.077,0.424285714
IS-DI-19,EXPT,isopod,diatoms,-0.006,24,-0.006,0.00167,0.023,0.072608696
IS-DI-20,EXPT,isopod,diatoms,0.013,24,0.013,0.02067,0.016,1.291875
IS-DI-21,EXPT,isopod,diatoms,0.027,24,0.027,0.03467,0.06,0.577833333
CTRL-IS-DI-1,CTRL,ctrl_isopod,diatoms,-0.008,24,-0.008,-0.00033,na,na
CTRL-IS-DI-2,CTRL,ctrl_isopod,diatoms,-0.002,24,-0.002,0.00567,na,na
CTRL-IS-DI-3,CTRL,ctrl_isopod,diatoms,-0.013,24,-0.013,-0.00533,na,na
CTRL-IS-DI-4,CTRL,ctrl_isopod,diatoms,-0.006,24,-0.006,0.00167,na,na
CTRL-IS-DI-5,CTRL,ctrl_isopod,diatoms,-0.014,24,-0.014,-0.00633,na,na
CTRL-IS-DI-6,CTRL,ctrl_isopod,diatoms,-0.006,24,-0.006,0.00167,na,na
CTRL-IS-DI-7,CTRL,ctrl_isopod,diatoms,-0.011,24,-0.011,-0.00333,na,na
CTRL-IS-DI-8,CTRL,ctrl_isopod,diatoms,-0.006,24,-0.006,0.00167,na,na
CTRL-IS-DI-9,CTRL,ctrl_isopod,diatoms,-0.013,24,-0.013,-0.00533,na,na
CTRL-IS-DI-10,CTRL,ctrl_isopod,diatoms,-0.003,24,-0.003,0.00467,na,na
CTRL-IS-DI-11,CTRL,ctrl_isopod,diatoms,-0.01,24,-0.01,-0.00233,na,na
CTRL-IS-DI-12,CTRL,ctrl_isopod,diatoms,0,24,0,0.00767,na,na
AM-DI-1,EXPT,amphipod,diatoms,0.041,24,0.041,0.04867,0.033,1.474848485
AM-DI-2,EXPT,amphipod,diatoms,0.019,24,0.019,0.02667,0.077,0.346363636
AM-DI-3,EXPT,amphipod,diatoms,0,24,0,0.00767,0.011,0.697272727
AM-DI-4,EXPT,amphipod,diatoms,-0.059,24,-0.059,-0.05133,0.013,-3.948461538
AM-DI-5,EXPT,amphipod,diatoms,0.005,24,0.005,0.01267,0.041,0.30902439
AM-DI-6,EXPT,amphipod,diatoms,0.041,24,0.041,0.04867,0.037,1.315405405
AM-DI-7,EXPT,amphipod,diatoms,-0.02,24,-0.02,-0.01233,0.076,-0.162236842
AM-DI-8,EXPT,amphipod,diatoms,0.028,24,0.028,0.03567,0.025,1.4268
AM-DI-9,EXPT,amphipod,diatoms,0.029,24,0.029,0.03667,0.062,0.591451613
AM-DI-10,EXPT,amphipod,diatoms,0.013,24,0.013,0.02067,0.087,0.237586207
AM-DI-11,EXPT,amphipod,diatoms,0.032,24,0.032,0.03967,0.02,1.9835
AM-DI-12,EXPT,amphipod,diatoms,0.034,24,0.034,0.04167,0.036,1.1575
AM-DI-13,EXPT,amphipod,diatoms,0.028,24,0.028,0.03567,0.047,0.75893617
AM-DI-14,EXPT,amphipod,diatoms,0.031,24,0.031,0.03867,0.032,1.2084375
AM-DI-15,EXPT,amphipod,diatoms,0.029,24,0.029,0.03667,0.069,0.531449275
AM-DI-16,EXPT,amphipod,diatoms,0.039,24,0.039,0.04667,0.045,1.037111111
AM-DI-17,EXPT,amphipod,diatoms,-0.005,24,-0.005,0.00267,0.034,0.078529412
CTRL-AM-DI-1,CTRL,ctrl_amphipod,diatoms,-0.008,24,-0.008,-0.00033,na,na
CTRL-AM-DI-2,CTRL,ctrl_amphipod,diatoms,-0.002,24,-0.002,0.00567,na,na
CTRL-AM-DI-3,CTRL,ctrl_amphipod,diatoms,-0.013,24,-0.013,-0.00533,na,na
CTRL-AM-DI-4,CTRL,ctrl_amphipod,diatoms,-0.006,24,-0.006,0.00167,na,na
CTRL-AM-DI-5,CTRL,ctrl_amphipod,diatoms,-0.014,24,-0.014,-0.00633,na,na
CTRL-AM-DI-6,CTRL,ctrl_amphipod,diatoms,-0.006,24,-0.006,0.00167,na,na
CTRL-AM-DI-7,CTRL,ctrl_amphipod,diatoms,-0.011,24,-0.011,-0.00333,na,na
CTRL-AM-DI-8,CTRL,ctrl_amphipod,diatoms,-0.006,24,-0.006,0.00167,na,na
CTRL-AM-DI-9,CTRL,ctrl_amphipod,diatoms,-0.013,24,-0.013,-0.00533,na,na
CTRL-AM-DI-10,CTRL,ctrl_amphipod,diatoms,-0.003,24,-0.003,0.00467,na,na
CTRL-AM-DI-11,CTRL,ctrl_amphipod,diatoms,-0.01,24,-0.01,-0.00233,na,na
CTRL-AM-DI-12,CTRL,ctrl_amphipod,diatoms,0,24,0,0.00767,na,na
SH-DI-1,EXPT,seahare,diatoms,-0.017,36,-0.011333333,-0.000733333,0.007,-0.104761857
SH-DI-2,EXPT,seahare,diatoms,0.005,36,0.003333333,0.013933333,0.012,1.161111083
SH-DI-3,EXPT,seahare,diatoms,0.002,36,0.001333333,0.011933333,na,na
SH-DI-4,EXPT,seahare,diatoms,0.009,36,0.006,0.0166,0.019,0.873684211
SH-DI-5,EXPT,seahare,diatoms,0.008,36,0.005333333,0.015933333,0.012,1.32777775
SH-DI-6,EXPT,seahare,diatoms,0.017,36,0.011333333,0.021933333,0.013,1.687179462
SH-DI-7,EXPT,seahare,diatoms,0.007,36,0.004666667,0.015266667,0.018,0.848148167
SH-DI-8,EXPT,seahare,diatoms,0,36,0,0.0106,0.014,0.757142857
SH-DI-9,EXPT,seahare,diatoms,0.04,36,0.026666667,0.037266667,0.035,1.064761914
SH-DI-10,EXPT,seahare,diatoms,0.015,36,0.01,0.0206,0.022,0.936363636
SH-DI-11,EXPT,seahare,diatoms,0.018,36,0.012,0.0226,0.012,1.883333333
SH-DI-12,EXPT,seahare,diatoms,0.017,36,0.011333333,0.021933333,0.01,2.1933333
SH-DI-13,EXPT,seahare,diatoms,0.005,36,0.003333333,0.013933333,0.01,1.3933333
SH-DI-14,EXPT,seahare,diatoms,-0.009,36,-0.006,0.0046,0.009,0.511111111
SH-DI-15,EXPT,seahare,diatoms,-0.001,36,-0.000666667,0.009933333,0.011,0.903030273
SH-DI-16,EXPT,seahare,diatoms,0.003,36,0.002,0.0126,0.015,0.84
SH-DI-17,EXPT,seahare,diatoms,0.01,36,0.006666667,0.017266667,0.017,1.015686294
SH-DI-18,EXPT,seahare,diatoms,0.03,36,0.02,0.0306,0.014,2.185714286
SH-DI-19,EXPT,seahare,diatoms,-0.002,36,-0.001333333,0.009266667,0.015,0.6177778
CTRL-SH-DI-1,CTRL,ctrl_seahare,diatoms,-0.014,36,-0.009333333,0.001266667,na,na
CTRL-SH-DI-2,CTRL,ctrl_seahare,diatoms,-0.022,36,-0.014666667,-0.004066667,na,na
CTRL-SH-DI-3,CTRL,ctrl_seahare,diatoms,-0.015,36,-0.01,0.0006,na,na
CTRL-SH-DI-4,CTRL,ctrl_seahare,diatoms,-0.015,36,-0.01,0.0006,na,na
CTRL-SH-DI-5,CTRL,ctrl_seahare,diatoms,-0.023,36,-0.015333333,-0.004733333,na,na
CTRL-SH-DI-6,CTRL,ctrl_seahare,diatoms,-0.013,36,-0.008666667,0.001933333,na,na
CTRL-SH-DI-7,CTRL,ctrl_seahare,diatoms,0.009,36,0.006,0.0166,na,na
CTRL-SH-DI-8,CTRL,ctrl_seahare,diatoms,-0.019,36,-0.012666667,-0.002066667,na,na
CTRL-SH-DI-9,CTRL,ctrl_seahare,diatoms,-0.025,36,-0.016666667,-0.006066667,na,na
CTRL-SH-DI-10,CTRL,ctrl_seahare,diatoms,-0.022,36,-0.014666667,-0.004066667,na,na
