replicate,trial_type,grazer,epiphyte,dmass,time_hrs,dmass_minctrl,grazer_mass,dmass_stnd
CTRL-IS-BL-14,CTRL,ctrl_isopod,blades,-0.001,24,-0.00265,na,na
CTRL-IS-BL-15,CTRL,ctrl_isopod,blades,0,24,-0.00165,na,na
CTRL-IS-BL-16,CTRL,ctrl_isopod,blades,0.014,24,0.01235,na,na
CTRL-IS-BL-17,CTRL,ctrl_isopod,blades,0.001,24,-0.00065,na,na
CTRL-IS-BL-18,CTRL,ctrl_isopod,blades,0,24,-0.00165,na,na
CTRL-IS-BL-19,CTRL,ctrl_isopod,blades,0.002,24,0.00035,na,na
CTRL-IS-BL-20,CTRL,ctrl_isopod,blades,0,24,-0.00165,na,na
AM-BL-1,EXPT,amphipod,blades,0.038,24,0.036726,0.033,1.112909091
AM-BL-2,EXPT,amphipod,blades,0.012,24,0.010726,0.077,0.139298701
AM-BL-3,EXPT,amphipod,blades,0.02,24,0.018726,0.011,1.702363636
AM-BL-4,EXPT,amphipod,blades,0.023,24,0.021726,0.013,1.671230769
AM-BL-6,EXPT,amphipod,blades,0.006,24,0.004726,0.037,0.12772973
AM-BL-7,EXPT,amphipod,blades,0.025,24,0.023726,0.076,0.312184211
AM-BL-8,EXPT,amphipod,blades,0.037,24,0.035726,0.025,1.42904
CTRL-AM-BL-6,CTRL,ctrl_amphipod,blades,-0.001,24,-0.002274,na,na
CTRL-AM-BL-7,CTRL,ctrl_amphipod,blades,0,24,-0.001274,na,na
CTRL-AM-BL-8,CTRL,ctrl_amphipod,blades,0,24,-0.001274,na,na
CTRL-AM-BL-9,CTRL,ctrl_amphipod,blades,0.001,24,-0.000274,na,na
CTRL-AM-BL-10,CTRL,ctrl_amphipod,blades,0.002,24,0.000726,na,na
CTRL-AM-BL-11,CTRL,ctrl_amphipod,blades,-0.001,24,-0.002274,na,na
CTRL-AM-BL-12,CTRL,ctrl_amphipod,blades,0.002,24,0.000726,na,na
CTRL-AM-BL-13,CTRL,ctrl_amphipod,blades,0.003,24,0.001726,na,na
CTRL-AM-BL-14,CTRL,ctrl_amphipod,blades,0,24,-0.001274,na,na
CTRL-AM-BL-15,CTRL,ctrl_amphipod,blades,0.001,24,-0.000274,na,na
CTRL-AM-BL-16,CTRL,ctrl_amphipod,blades,0.008,24,0.006726,na,na
CTRL-AM-BL-17,CTRL,ctrl_amphipod,blades,0.002,24,0.000726,na,na
CTRL-AM-BL-18,CTRL,ctrl_amphipod,blades,0,24,-0.001274,na,na
CTRL-AM-BL-19,CTRL,ctrl_amphipod,blades,-0.001,24,-0.002274,na,na
CTRL-AM-BL-20,CTRL,ctrl_amphipod,blades,0,24,-0.001274,na,na
CTRL-AM-BL-21,CTRL,ctrl_amphipod,blades,0.014,24,0.012726,na,na
CTRL-AM-BL-22,CTRL,ctrl_amphipod,blades,0.001,24,-0.000274,na,na
CTRL-AM-BL-23,CTRL,ctrl_amphipod,blades,0,24,-0.001274,na,na
CTRL-AM-BL-24,CTRL,ctrl_amphipod,blades,0.002,24,0.000726,na,na
CTRL-AM-BL-25,CTRL,ctrl_amphipod,blades,0,24,-0.001274,na,na
IS-DI-1,EXPT,isopod,diatoms,-0.001,24,0.00667,0.051,0.130784314
IS-DI-2,EXPT,isopod,diatoms,0.025,24,0.03267,0.025,1.3068
IS-DI-3,EXPT,isopod,diatoms,0.014,24,0.02167,0.023,0.942173913
IS-DI-4,EXPT,isopod,diatoms,-0.018,24,-0.01033,0.026,-0.397307692
IS-DI-5,EXPT,isopod,diatoms,0.025,24,0.03267,0.063,0.518571429
IS-DI-6,EXPT,isopod,diatoms,0.008,24,0.01567,0.111,0.141171171
IS-DI-7,EXPT,isopod,diatoms,0.033,24,0.04067,0.05,0.8134
IS-DI-8,EXPT,isopod,diatoms,-0.006,24,0.00167,0.025,0.0668
IS-DI-9,EXPT,isopod,diatoms,0.001,24,0.00867,0.021,0.412857143
IS-DI-10,EXPT,isopod,diatoms,0.038,24,0.04567,0.136,0.335808824
IS-DI-11,EXPT,isopod,diatoms,0.03,24,0.03767,0.08,0.470875
IS-DI-12,EXPT,isopod,diatoms,0.027,24,0.03467,0.034,1.019705882
IS-DI-13,EXPT,isopod,diatoms,-0.008,24,-0.00033,0.064,-0.00515625
IS-DI-14,EXPT,isopod,diatoms,0.028,24,0.03567,0.034,1.049117647
IS-DI-15,EXPT,isopod,diatoms,0.044,24,0.05167,0.094,0.549680851
IS-DI-16,EXPT,isopod,diatoms,0.025,24,0.03267,0.077,0.424285714
IS-DI-17,EXPT,isopod,diatoms,-0.006,24,0.00167,0.023,0.072608696
IS-DI-18,EXPT,isopod,diatoms,0.013,24,0.02067,0.016,1.291875
IS-DI-19,EXPT,isopod,diatoms,0.027,24,0.03467,0.06,0.577833333
CTRL-IS-DI-1,CTRL,ctrl_isopod,diatoms,-0.008,24,-0.00033,na,na
CTRL-IS-DI-2,CTRL,ctrl_isopod,diatoms,-0.002,24,0.00567,na,na
CTRL-IS-DI-3,CTRL,ctrl_isopod,diatoms,-0.013,24,-0.00533,na,na
CTRL-IS-DI-4,CTRL,ctrl_isopod,diatoms,-0.006,24,0.00167,na,na
CTRL-IS-DI-5,CTRL,ctrl_isopod,diatoms,-0.014,24,-0.00633,na,na
CTRL-IS-DI-6,CTRL,ctrl_isopod,diatoms,-0.006,24,0.00167,na,na
CTRL-IS-DI-7,CTRL,ctrl_isopod,diatoms,-0.011,24,-0.00333,na,na
CTRL-IS-DI-8,CTRL,ctrl_isopod,diatoms,-0.006,24,0.00167,na,na
CTRL-IS-DI-9,CTRL,ctrl_isopod,diatoms,-0.013,24,-0.00533,na,na
CTRL-IS-DI-10,CTRL,ctrl_isopod,diatoms,-0.003,24,0.00467,na,na
CTRL-IS-DI-11,CTRL,ctrl_isopod,diatoms,-0.01,24,-0.00233,na,na
CTRL-IS-DI-12,CTRL,ctrl_isopod,diatoms,0,24,0.00767,na,na
AM-DI-1,EXPT,amphipod,diatoms,0.041,24,0.04867,0.033,1.474848485
AM-DI-2,EXPT,amphipod,diatoms,0.019,24,0.02667,0.077,0.346363636
AM-DI-3,EXPT,amphipod,diatoms,0,24,0.00767,0.011,0.697272727
AM-DI-4,EXPT,amphipod,diatoms,-0.059,24,-0.05133,0.013,-3.948461538
AM-DI-5,EXPT,amphipod,diatoms,0.005,24,0.01267,0.041,0.30902439
AM-DI-6,EXPT,amphipod,diatoms,0.041,24,0.04867,0.037,1.315405405
AM-DI-7,EXPT,amphipod,diatoms,-0.02,24,-0.01233,0.076,-0.162236842
AM-DI-8,EXPT,amphipod,diatoms,0.028,24,0.03567,0.025,1.4268
AM-DI-9,EXPT,amphipod,diatoms,0.029,24,0.03667,0.062,0.591451613
AM-DI-10,EXPT,amphipod,diatoms,0.013,24,0.02067,0.087,0.237586207
AM-DI-11,EXPT,amphipod,diatoms,0.032,24,0.03967,0.02,1.9835
AM-DI-12,EXPT,amphipod,diatoms,0.034,24,0.04167,0.036,1.1575
AM-DI-13,EXPT,amphipod,diatoms,0.028,24,0.03567,0.047,0.75893617
AM-DI-14,EXPT,amphipod,diatoms,0.031,24,0.03867,0.032,1.2084375
AM-DI-15,EXPT,amphipod,diatoms,0.029,24,0.03667,0.069,0.531449275
AM-DI-16,EXPT,amphipod,diatoms,0.039,24,0.04667,0.045,1.037111111
AM-DI-17,EXPT,amphipod,diatoms,-0.005,24,0.00267,0.034,0.078529412
CTRL-AM-DI-1,CTRL,ctrl_amphipod,diatoms,-0.008,24,-0.00033,na,na
CTRL-AM-DI-2,CTRL,ctrl_amphipod,diatoms,-0.002,24,0.00567,na,na
CTRL-AM-DI-3,CTRL,ctrl_amphipod,diatoms,-0.013,24,-0.00533,na,na
CTRL-AM-DI-4,CTRL,ctrl_amphipod,diatoms,-0.006,24,0.00167,na,na
CTRL-AM-DI-5,CTRL,ctrl_amphipod,diatoms,-0.014,24,-0.00633,na,na
CTRL-AM-DI-6,CTRL,ctrl_amphipod,diatoms,-0.006,24,0.00167,na,na
CTRL-AM-DI-7,CTRL,ctrl_amphipod,diatoms,-0.011,24,-0.00333,na,na
CTRL-AM-DI-8,CTRL,ctrl_amphipod,diatoms,-0.006,24,0.00167,na,na
CTRL-AM-DI-9,CTRL,ctrl_amphipod,diatoms,-0.013,24,-0.00533,na,na
CTRL-AM-DI-10,CTRL,ctrl_amphipod,diatoms,-0.003,24,0.00467,na,na
CTRL-AM-DI-11,CTRL,ctrl_amphipod,diatoms,-0.01,24,-0.00233,na,na
CTRL-AM-DI-12,CTRL,ctrl_amphipod,diatoms,0,24,0.00767,na,na
